Rank,Title,Budget,Genre
449,Monster Hunt 2,N/A,Adventure Comedy Fantasy Sci-Fi
450,Fast & Furious,"$85,000,000",Action Thriller
451,Spirited Away,N/A,Adventure Animation Family Fantasy Mystery
452,Noah,"$125,000,000",Action Adventure Drama
453,The Karate Kid,"$40,000,000",Action Drama Family Sport
454,Home Alone 2: Lost in New York,N/A,Adventure Comedy Crime Family
455,Hotel Transylvania,"$85,000,000",Animation Comedy Family Fantasy
456,Minority Report,"$102,000,000",Action Crime Mystery Sci-Fi Thriller
457,Top Gun,N/A,Action Drama
458,The Legend of Tarzan,"$180,000,000",Action Adventure Drama Fantasy Romance
459,American Beauty,"$15,000,000",Drama
460,Apollo 13,N/A,Adventure Drama History
461,Rain Man,"$25,000,000",Drama
462,The Great Gatsby,"$105,000,000",Drama Romance
463,Dumbo,"$170,000,000",Adventure Family Fantasy
464,"I, Robot","$120,000,000",Action Mystery Sci-Fi Thriller
465,Basic Instinct,"$49,000,000",Drama Mystery Thriller
466,Murder on the Orient Express,"$55,000,000",Crime Drama Mystery Thriller
467,X-Men: First Class,"$160,000,000",Action Sci-Fi
468,The Angry Birds Movie,"$73,000,000",Action Adventure Animation Comedy Family
469,GoldenEye,N/A,Action Adventure Thriller
470,Catch Me If You Can,"$52,000,000",Biography Crime Drama
471,Now You See Me,"$75,000,000",Crime Mystery Thriller
472,Hannibal,"$87,000,000",Crime Drama Thriller
473,The Mask,"$23,000,000",Comedy Crime Fantasy
474,Peter Rabbit,"$50,000,000",Adventure Animation Comedy Drama Family Fantasy
475,It Ends with Us,N/A,Drama Romance
476,Alien: Romulus,N/A,Horror Sci-Fi Thriller
477,Speed,"$30,000,000",Action Adventure Thriller
478,Dinosaur,"$127,500,000",Adventure Animation Drama Family Fantasy
479,Deep Impact,N/A,Action Drama Sci-Fi Thriller
480,The Lorax,"$70,000,000",Adventure Animation Comedy Drama Family Fantasy Musical
481,The Hunger Games: The Ballad of Songbirds & Snakes,N/A,Action Adventure Drama Sci-Fi Thriller War
482,The Maze Runner,"$34,000,000",Action Mystery Sci-Fi Thriller
483,The Smurfs 2,"$105,000,000",Adventure Animation Comedy Family Fantasy
484,National Treasure,"$100,000,000",Action Adventure Mystery Thriller
485,Trolls,"$125,000,000",Adventure Animation Comedy Family Fantasy Musical
486,Rush Hour 2,"$90,000,000",Action Comedy Crime Thriller
487,How the Grinch Stole Christmas,"$123,000,000",Comedy Family Fantasy
488,xXx: Return of Xander Cage,"$85,000,000",Action Adventure Thriller
489,Pocahontas,N/A,Adventure Animation Drama Family Musical Romance
490,Star Trek Beyond,"$185,000,000",Action Adventure Sci-Fi Thriller
491,Alvin and the Chipmunks: Chipwrecked,"$75,000,000",Adventure Animation Comedy Family Fantasy Music Musical
492,Wanted,"$75,000,000",Action Crime Thriller
493,The Flintstones,"$46,000,000",Comedy Family Fantasy
494,A Quiet Place,"$17,000,000",Drama Horror Sci-Fi
495,Enchanted,"$85,000,000",Adventure Animation Comedy Family Fantasy Musical Romance
496,Over the Hedge,N/A,Adventure Animation Comedy Family
497,300: Rise of an Empire,"$110,000,000",Action Drama
498,Batman Forever,"$100,000,000",Action Adventure
499,Prince of Persia: The Sands of Time,"$200,000,000",Action Adventure Fantasy
500,The Curious Case of Benjamin Button,"$150,000,000",Drama Fantasy Romance
101,Spider-Man,"$139,000,000",Action Adventure Sci-Fi
102,Mission: Impossible - Fallout,"$178,000,000",Action Adventure Thriller
103,Wonder Woman,"$149,000,000",Action Adventure Fantasy Sci-Fi War
104,"Hi, Mom",N/A,Comedy Drama Fantasy
105,Independence Day,"$75,000,000",Action Adventure Sci-Fi
106,Fantastic Beasts and Where to Find Them,"$180,000,000",Adventure Family Fantasy
107,Coco,N/A,Adventure Animation Drama Family Fantasy Music Mystery
